ID,ChoiceSet,Choice,Safety_BW,Reliability_BW,Comfort_BW,Ease_of_Use_BW,Convenience_BW,Efficiency_BW,Information_BW,Staff_helpfulness_BW,Affordability_BW,Accessibility_BW
1001,1,0,0,0,0,0,-1,0,0,0,0,1
1001,1,0,0,0,0,0,1,0,0,0,0,-1
1001,1,0,0,0,1,0,-1,0,0,0,0,0
1001,1,0,0,0,-1,0,1,0,0,0,0,0
1001,1,0,0,0,1,0,0,0,0,0,0,-1
1001,1,0,0,0,-1,0,0,0,0,0,0,1
1001,1,0,1,0,0,0,-1,0,0,0,0,0
1001,1,1,1,0,0,0,0,0,0,0,0,-1
1001,1,0,1,0,-1,0,0,0,0,0,0,0
1001,1,0,-1,0,0,0,1,0,0,0,0,0
1001,1,0,-1,0,0,0,0,0,0,0,0,1
1001,1,0,-1,0,1,0,0,0,0,0,0,0
1001,2,0,0,0,0,0,0,0,0,-1,1,0
1001,2,0,0,0,0,0,0,0,0,1,-1,0
1001,2,1,0,0,0,0,0,0,1,-1,0,0
1001,2,0,0,0,0,0,0,0,-1,1,0,0
1001,2,0,0,0,0,0,0,0,1,0,-1,0
1001,2,0,0,0,0,0,0,0,-1,0,1,0
1001,2,0,0,0,0,0,1,0,0,-1,0,0
1001,2,0,0,0,0,0,1,0,0,0,-1,0
1001,2,0,0,0,0,0,1,0,-1,0,0,0
1001,2,0,0,0,0,0,-1,0,0,1,0,0
1001,2,0,0,0,0,0,-1,0,0,0,1,0
1001,2,0,0,0,0,0,-1,0,1,0,0,0
1001,3,0,0,0,0,-1,0,0,0,1,0,0
1001,3,0,0,0,0,1,0,0,0,-1,0,0
1001,3,0,0,1,0,-1,0,0,0,0,0,0
1001,3,0,0,-1,0,1,0,0,0,0,0,0
1001,3,0,0,1,0,0,0,0,0,-1,0,0
1001,3,0,0,-1,0,0,0,0,0,1,0,0
1001,3,0,1,0,0,-1,0,0,0,0,0,0
1001,3,1,1,0,0,0,0,0,0,-1,0,0
1001,3,0,1,-1,0,0,0,0,0,0,0,0
1001,3,0,-1,0,0,1,0,0,0,0,0,0
1001,3,0,-1,0,0,0,0,0,0,1,0,0
1001,3,0,-1,1,0,0,0,0,0,0,0,0
1001,4,0,0,0,0,0,0,-1,0,0,1,0
1001,4,1,0,0,0,0,0,1,0,0,-1,0
1001,4,0,0,0,0,1,0,-1,0,0,0,0
1001,4,0,0,0,0,-1,0,1,0,0,0,0
1001,4,0,0,0,0,1,0,0,0,0,-1,0
1001,4,0,0,0,0,-1,0,0,0,0,1,0
1001,4,0,0,0,1,0,0,-1,0,0,0,0
1001,4,0,0,0,1,0,0,0,0,0,-1,0
1001,4,0,0,0,1,-1,0,0,0,0,0,0
1001,4,0,0,0,-1,0,0,1,0,0,0,0
1001,4,0,0,0,-1,0,0,0,0,0,1,0
1001,4,0,0,0,-1,1,0,0,0,0,0,0
1001,5,0,0,0,0,0,0,0,-1,0,0,1
1001,5,0,0,0,0,0,0,0,1,0,0,-1
1001,5,1,0,0,0,0,0,1,-1,0,0,0
1001,5,0,0,0,0,0,0,-1,1,0,0,0
1001,5,0,0,0,0,0,0,1,0,0,0,-1
1001,5,0,0,0,0,0,0,-1,0,0,0,1
1001,5,0,0,1,0,0,0,0,-1,0,0,0
1001,5,0,0,1,0,0,0,0,0,0,0,-1
1001,5,0,0,1,0,0,0,-1,0,0,0,0
1001,5,0,0,-1,0,0,0,0,1,0,0,0
1001,5,0,0,-1,0,0,0,0,0,0,0,1
1001,5,0,0,-1,0,0,0,1,0,0,0,0
1001,6,1,1,0,0,0,0,0,0,0,0,-1
1001,6,0,-1,0,0,0,0,0,0,0,0,1
1001,6,0,0,0,0,0,1,0,0,0,0,-1
1001,6,0,0,0,0,0,-1,0,0,0,0,1
1001,6,0,-1,0,0,0,1,0,0,0,0,0
1001,6,0,1,0,0,0,-1,0,0,0,0,0
1001,6,0,0,0,1,0,0,0,0,0,0,-1
1001,6,0,-1,0,1,0,0,0,0,0,0,0
